epsilon,noise_scale,delta,x_min,x_max,u,v_upper
1,1,1,-15,15,4.5,-1227.375
1,1,1,-15,15,4.6,-1232.026667
1,1,1,-15,15,4.7,-1236.681667
1,1,1,-15,15,4.8,-1241.34
1,1,1,-15,15,4.9,-1246.001667
1,1,1,-15,15,5,-1250.666667
1,1,1,-15,15,5.1,-1255.335
1,1,1,-15,15,5.2,-1260.006667
1,1,1,-15,15,5.3,-1264.681667
1,1,1,-15,15,5.4,-1269.36
1,1,1,-15,15,5.5,-1274.041667
1,1,1,-15,15,5.6,-1278.726667
1,1,1,-15,15,5.7,-1283.415
1,1,1,-15,15,5.8,-1288.106667
1,1,1,-15,15,5.9,-1292.801667
1,1,1,-15,15,6,-1297.5
1,1,1,-15,15,6.1,-1302.201667
1,1,1,-15,15,6.2,-1306.906667
1,1,1,-15,15,6.3,-1311.615
1,1,1,-15,15,6.4,-1316.326667
1,1,1,-15,15,6.5,-1321.041667
1,1,1,-15,15,6.6,-1325.76
1,1,1,-15,15,6.7,-1330.481667
1,1,1,-15,15,6.8,-1335.206667
1,1,1,-15,15,6.9,-1339.935
1,1,1,-15,15,7,-1344.666667
1,1,1,-15,15,7.1,-1349.401667
1,1,1,-15,15,7.2,-1354.14
1,1,1,-15,15,7.3,-1358.881667
1,1,1,-15,15,7.4,-1363.626667
1,1,1,-15,15,7.5,-1368.375
1,1,1,-15,15,7.6,-1373.126667
1,1,1,-15,15,7.7,-1377.881667
1,1,1,-15,15,7.8,-1382.64
1,1,1,-15,15,7.9,-1387.401667
1,1,1,-15,15,8,-1392.166667
1,1,1,-15,15,8.1,-1396.935
1,1,1,-15,15,8.2,-1401.706667
1,1,1,-15,15,8.3,-1406.481667
1,1,1,-15,15,8.4,-1411.26
1,1,1,-15,15,8.5,-1416.041667
1,1,1,-15,15,8.6,-1420.826667
1,1,1,-15,15,8.7,-1425.615
1,1,1,-15,15,8.8,-1430.406667
1,1,1,-15,15,8.9,-1435.201667
1,1,1,-15,15,9,-1440
1,1,1,-15,15,9.1,-1444.801667
1,1,1,-15,15,9.2,-1449.606667
1,1,1,-15,15,9.3,-1454.415
1,1,1,-15,15,9.4,-1459.226667
1,1,1,-15,15,9.5,-1464.041667
1,1,1,-15,15,9.6,-1468.86
1,1,1,-15,15,9.7,-1473.681667
1,1,1,-15,15,9.8,-1478.506667
1,1,1,-15,15,9.9,-1483.335
1,1,1,-15,15,10,-1488.166667
1,1,1,-15,15,10.1,-1493.001667
1,1,1,-15,15,10.2,-1497.84
1,1,1,-15,15,10.3,-1502.681667
1,1,1,-15,15,10.4,-1507.526667
1,1,1,-15,15,10.5,-1512.375
1,1,1,-15,15,10.6,-1517.226667
1,1,1,-15,15,10.7,-1522.081667
1,1,1,-15,15,10.8,-1526.94
1,1,1,-15,15,10.9,-1531.801667
1,1,1,-15,15,11,-1536.666667
1,1,1,-15,15,11.1,-1541.535
1,1,1,-15,15,11.2,-1546.406667
1,1,1,-15,15,11.3,-1551.281667
1,1,1,-15,15,11.4,-1556.16
1,1,1,-15,15,11.5,-1561.041667
1,1,1,-15,15,11.6,-1565.926667
1,1,1,-15,15,11.7,-1570.815
1,1,1,-15,15,11.8,-1575.706667
1,1,1,-15,15,11.9,-1580.601667
1,1,1,-15,15,12,-1585.5
