epsilon,noise_scale,delta,x_min,x_max,u,v_upper
0.1,10,1,-15,15,-3.6,-2076.66
0.1,10,1,-15,15,-3.5,-2072.041667
0.1,10,1,-15,15,-3.4,-2067.426667
0.1,10,1,-15,15,-3.3,-2062.815
0.1,10,1,-15,15,-3.2,-2058.206667
0.1,10,1,-15,15,-3.1,-2053.601667
0.1,10,1,-15,15,-3,-2049
0.1,10,1,-15,15,-2.9,-2044.401667
0.1,10,1,-15,15,-2.8,-2039.806667
0.1,10,1,-15,15,-2.7,-2035.215
0.1,10,1,-15,15,-2.6,-2030.626667
0.1,10,1,-15,15,-2.5,-2026.041667
0.1,10,1,-15,15,-2.4,-2021.46
0.1,10,1,-15,15,-2.3,-2016.881667
0.1,10,1,-15,15,-2.2,-2012.306667
0.1,10,1,-15,15,-2.1,-2007.735
0.1,10,1,-15,15,-2,-2003.166667
0.1,10,1,-15,15,-1.9,-1998.601667
0.1,10,1,-15,15,-1.8,-1994.04
0.1,10,1,-15,15,-1.7,-1989.481667
0.1,10,1,-15,15,-1.6,-1984.926667
0.1,10,1,-15,15,-1.5,-1980.375
0.1,10,1,-15,15,-1.4,-1975.826667
0.1,10,1,-15,15,-1.3,-1971.281667
0.1,10,1,-15,15,-1.2,-1966.74
0.1,10,1,-15,15,-1.1,-1962.201667
0.1,10,1,-15,15,-1,-1957.666667
0.1,10,1,-15,15,-0.9,-1953.135
0.1,10,1,-15,15,-0.8,-1948.606667
0.1,10,1,-15,15,-0.7,-1944.081667
0.1,10,1,-15,15,-0.6,-1939.56
0.1,10,1,-15,15,-0.5,-1935.041667
0.1,10,1,-15,15,-0.4,-1930.526667
0.1,10,1,-15,15,-0.3,-1926.015
0.1,10,1,-15,15,-0.2,-1921.506667
0.1,10,1,-15,15,-0.1,-1917.001667
0.1,10,1,-15,15,0,-1912.5
0.1,10,1,-15,15,0.1,-1917.001667
0.1,10,1,-15,15,0.2,-1921.506667
0.1,10,1,-15,15,0.3,-1926.015
0.1,10,1,-15,15,0.4,-1930.526667
0.1,10,1,-15,15,0.5,-1935.041667
0.1,10,1,-15,15,0.6,-1939.56
0.1,10,1,-15,15,0.7,-1944.081667
0.1,10,1,-15,15,0.8,-1948.606667
0.1,10,1,-15,15,0.9,-1953.135
0.1,10,1,-15,15,1,-1957.666667
0.1,10,1,-15,15,1.1,-1962.201667
0.1,10,1,-15,15,1.2,-1966.74
0.1,10,1,-15,15,1.3,-1971.281667
0.1,10,1,-15,15,1.4,-1975.826667
0.1,10,1,-15,15,1.5,-1980.375
0.1,10,1,-15,15,1.6,-1984.926667
0.1,10,1,-15,15,1.7,-1989.481667
0.1,10,1,-15,15,1.8,-1994.04
0.1,10,1,-15,15,1.9,-1998.601667
0.1,10,1,-15,15,2,-2003.166667
0.1,10,1,-15,15,2.1,-2007.735
0.1,10,1,-15,15,2.2,-2012.306667
0.1,10,1,-15,15,2.3,-2016.881667
0.1,10,1,-15,15,2.4,-2021.46
0.1,10,1,-15,15,2.5,-2026.041667
0.1,10,1,-15,15,2.6,-2030.626667
0.1,10,1,-15,15,2.7,-2035.215
0.1,10,1,-15,15,2.8,-2039.806667
0.1,10,1,-15,15,2.9,-2044.401667
0.1,10,1,-15,15,3,-2049
0.1,10,1,-15,15,3.1,-2053.601667
0.1,10,1,-15,15,3.2,-2058.206667
0.1,10,1,-15,15,3.3,-2062.815
0.1,10,1,-15,15,3.4,-2067.426667
0.1,10,1,-15,15,3.5,-2072.041667
0.1,10,1,-15,15,3.6,-2076.66
0.1,10,1,-15,15,3.7,-2081.281667
0.1,10,1,-15,15,3.8,-2085.906667
0.1,10,1,-15,15,3.9,-2090.535
0.1,10,1,-15,15,4,-2095.166667
0.1,10,1,-15,15,4.1,-2099.801667
0.1,10,1,-15,15,4.2,-2104.44
0.1,10,1,-15,15,4.3,-2109.081667
0.1,10,1,-15,15,4.4,-2113.726667
0.1,10,1,-15,15,4.5,-2118.375
0.1,10,1,-15,15,4.6,-2123.026667
0.1,10,1,-15,15,4.7,-2127.681667
0.1,10,1,-15,15,4.8,-2132.34
0.1,10,1,-15,15,4.9,-2137.001667
0.1,10,1,-15,15,5,-2141.666667
0.1,10,1,-15,15,5.1,-2146.335
0.1,10,1,-15,15,5.2,-2151.006667
0.1,10,1,-15,15,5.3,-2155.681667
0.1,10,1,-15,15,5.4,-2160.36
0.1,10,1,-15,15,5.5,-2165.041667
0.1,10,1,-15,15,5.6,-2169.726667
0.1,10,1,-15,15,5.7,-2174.415
0.1,10,1,-15,15,5.8,-2179.106667
0.1,10,1,-15,15,5.9,-2183.801667
0.1,10,1,-15,15,6,-2188.5
0.1,10,1,-15,15,6.1,-2193.201667
0.1,10,1,-15,15,6.2,-2197.906667
0.1,10,1,-15,15,6.3,-2202.615
0.1,10,1,-15,15,6.4,-2207.326667
0.1,10,1,-15,15,6.5,-2212.041667
0.1,10,1,-15,15,6.6,-2216.76
0.1,10,1,-15,15,6.7,-2221.481667
0.1,10,1,-15,15,6.8,-2226.206667
0.1,10,1,-15,15,6.9,-2230.935
0.1,10,1,-15,15,7,-2235.666667
0.1,10,1,-15,15,7.1,-2240.401667
0.1,10,1,-15,15,7.2,-2245.14
0.1,10,1,-15,15,7.3,-2249.881667
0.1,10,1,-15,15,7.4,-2254.626667
0.1,10,1,-15,15,7.5,-2259.375
0.1,10,1,-15,15,7.6,-2264.126667
0.1,10,1,-15,15,7.7,-2268.881667
0.1,10,1,-15,15,7.8,-2273.64
0.1,10,1,-15,15,7.9,-2278.401667
0.1,10,1,-15,15,8,-2283.166667
0.1,10,1,-15,15,8.1,-2287.935
0.1,10,1,-15,15,8.2,-2292.706667
0.1,10,1,-15,15,8.3,-2297.481667
0.1,10,1,-15,15,8.4,-2302.26
0.1,10,1,-15,15,8.5,-2307.041667
0.1,10,1,-15,15,8.6,-2311.826667
0.1,10,1,-15,15,8.7,-2316.615
0.1,10,1,-15,15,8.8,-2321.406667
0.1,10,1,-15,15,8.9,-2326.201667
0.1,10,1,-15,15,9,-2331
0.1,10,1,-15,15,9.1,-2335.801667
0.1,10,1,-15,15,9.2,-2340.606667
0.1,10,1,-15,15,9.3,-2345.415
0.1,10,1,-15,15,9.4,-2350.226667
0.1,10,1,-15,15,9.5,-2355.041667
0.1,10,1,-15,15,9.6,-2359.86
0.1,10,1,-15,15,9.7,-2364.681667
0.1,10,1,-15,15,9.8,-2369.506667
0.1,10,1,-15,15,9.9,-2374.335
0.1,10,1,-15,15,10,-2379.166667
0.1,10,1,-15,15,10.1,-2384.001667
0.1,10,1,-15,15,10.2,-2388.84
0.1,10,1,-15,15,10.3,-2393.681667
0.1,10,1,-15,15,10.4,-2398.526667
0.1,10,1,-15,15,10.5,-2403.375
0.1,10,1,-15,15,10.6,-2408.226667
0.1,10,1,-15,15,10.7,-2413.081667
0.1,10,1,-15,15,10.8,-2417.94
0.1,10,1,-15,15,10.9,-2422.801667
0.1,10,1,-15,15,11,-2427.666667
0.1,10,1,-15,15,11.1,-2432.535
0.1,10,1,-15,15,11.2,-2437.406667
0.1,10,1,-15,15,11.3,-2442.281667
0.1,10,1,-15,15,11.4,-2447.16
0.1,10,1,-15,15,11.5,-2452.041667
0.1,10,1,-15,15,11.6,-2456.926667
0.1,10,1,-15,15,11.7,-2461.815
0.1,10,1,-15,15,11.8,-2466.706667
0.1,10,1,-15,15,11.9,-2471.601667
0.1,10,1,-15,15,12,-2476.5
